CN-0055|Changsha Datuopu Airport / Changsha Air Base|28.0685|112.9573
CN-0056|Dangyang Air Base|30.7986|111.81
CN-0057|Foluo Northeast Air Base|18.6922|109.161
BZX|Bazhong Enyang Airport|31.7384|106.6449
CN-0063|Guiping Mengxu Air Base|23.3308|110.009
CN-0069|Jialaishi Air Base|19.6972|109.726
CN-0071|Leiyang Air Base|26.5872|112.892
CN-0072|Lingshui Air Base|18.4944|109.988
CN-0074|Shangqiu Air Base|34.4495|115.4593
CN-0076|Zhengzhou Air Base|34.8612|113.7296
HSC|Shaoguan Danxia Airport|24.9786|113.421
CN-0080|Suixi Air Base|21.3958|110.2
JGS|Jinggangshan Airport|26.8569|114.737
CN-0083|Guodu Air Base|36.0004|117.6258
CN-0085|Xiaogan Air Base|30.9536|113.9118
CN-0090|Cangxian Air Base|38.403|116.9309
CN-0092|Jiaozhou Jiaocheng Air Base|36.3312|120.0255
CN-0094|Jiugucheng Air Base|37.4912|116.1167
CN-0095|Kaifeng Air Base|34.7539|114.339
CN-0096|Laiyang Air Base|36.9636|120.591
CN-0097|Luyang Air Base|33.6854|112.8905
CN-0106|Xuzhou Daguozhang Air Base|34.2293|117.2457
CN-0111|Zhucheng Air Base|36.0275|119.4378
CN-0114|Baoji Air Base|34.5312|107.4707
HNG|Hainanzhou Gonghe Airport|36.3367|100.48
CN-0121|Huangdicun Naval Air Base|40.4998|120.6593
CN-0123|Lanzhou Air Base|35.9178|104.218
CN-0125|Lintao Air Base|35.3083|103.836
CN-0127|Qingshui Air Base|39.5547|98.8842
CN-0132|Ürümqi South Air Base|43.4666|87.5312
CN-0133|Malan Air Base|42.1806|87.1868
CN-0134|Wugong Air Base|34.2759|108.2658
CN-0135|Ürümqi Changji Air Base|43.9512|87.0792
CN-0136|Wuwei Air Base|37.9883|102.567
CN-0137|Xi'an Air Base|34.1531|108.5997
CN-0138|Xincheng Air Base|25.5483|114.619
CN-0139|Yaerbashi Test Range|43.0772|92.8081
CN-0140|Yanliang Air Base|34.6422|109.2419
CN-0146|Daishan Air Base|30.2876|122.1444
CN-0147|Feidong Air Base|31.9094|117.659
CN-0149|Fuzhou Air Base|26.0039|119.3128
CN-0152|Huian Air Base|25.0261|118.807
CN-0153|Hangzhou Jianqiao Airport|30.3353|120.241
JNH|Jiaxing Nanhu Airport|30.6981|120.6631
CN-0158|Longtian Air Base|25.5728|119.46
CN-0163|Nanchang Xiangtang Air Base|28.4212|115.9234
CN-0165|Ningbo Zhuangqiao Air Base|29.9228|121.574
CN-0169|Shanghai Dachang Air Base|31.3244|121.4095
WHN|Wuhan Hannan Municipal Airport|30.2552|114.0628
CN-0182|Zhangshu Air Base|28.0233|115.5496
CN-0185|Changchun Air Base|43.9066|125.197
CN-0188|Beijing Nanjiao Airport|39.4828|116.3723
CN-0190|Dingxin-Shuangchengzi Air Base|40.4014|99.7894
CN-0191|Fuxin Air Base|42.0789|121.662
CN-0192|Gongzhuling Air Base|43.5263|124.7847
CN-0197|Kaiyuan Air Base|42.5259|123.9847
CN-0198|Lalin Air Base|45.2595|126.8935
CN-0201|Pingquan Air Base|40.9004|118.6779
CN-0204|Shenyang Beiling Air Base|41.8708|123.439
CN-0206|Shenyang Yuhong Quansheng Airport|41.8225|123.299
CN-0208|Siping Air Base|43.1569|124.292
CN-0209|Suizhong Air Base|40.299|120.3615
CN-0210|Tuchengzi Air Base|38.9122|121.239
DDR|Shigatse Tingri Airport|28.6046|86.798
HQL|Tashikuergan Hongqilafu Airport|37.6613|75.2889
JDE|Jiande Qiandaohu General Airport|29.3609|119.1808
CN-0290|Sanya Air Base|18.2875|109.4637
CN-0316|Chenghu General Airport|31.2153|120.7893
CN-0321|Anji Tianzihu General Airport|30.7977|119.5903
CN-0331|Jiuzhou Airport|26.9984|107.759
CN-0344|Paozhuwan Air Base|30.6739|114.6309
CN-0345|Shanpo Air Base|30.0876|114.3137
APJ|Ali Pulan Airport|30.3979|81.1332
CN-0396|Shaodong Airport|27.2235|111.6741
CN-0401|Ningxiang Airport|27.9876|112.605
CN-0418|Hohhot Shengle International Airport (under construction)|40.481|111.5752
ZAT|Zhaotong Zhaoyang Airport （Not fully opened)|27.2058|103.6915
BFY|Bengbu Tenghu Airport|33.1663|117.0583
CN-0481|[Duplicate] Beijing Xijiao Airport|39.9586|116.2568
CN-0501|Hancheng Heyang Airport|35.3291|110.3829
CN-JNZ|Sanshilipu Air Base|39.2897|121.7622
CNC3|Brampton-Caledon Airport|43.7603|-79.875
CU-0115|[Duplicate] Holguín Air Base|20.7864|-76.3185
YAG|Fort Frances Municipal Airport|48.6557|-93.4435
YAH|La Grande-4 Airport|53.7547|-73.6753
YAM|Sault Ste Marie Airport|46.4832|-84.5085
XKS|Kasabonika Airport|53.5247|-88.6428
CYAV|Winnipeg / St. Andrews Airport|50.0564|-97.0325
CYAX|Lac du Bonnet Airport|50.2944|-96.01
YAY|St. Anthony Airport|51.3919|-56.0832
YAZ|Tofino / Long Beach Airport|49.0798|-125.7756
YBC|Baie-Comeau Airport|49.1325|-68.2044
QBC|Bella Coola Airport|52.3875|-126.596
YBY|Bonnyville Airport|54.3042|-110.744
YBG|Saguenay-Bagotville Airport|48.3301|-70.992
YBK|Baker Lake Airport|64.2989|-96.0778
YBL|Campbell River Airport|49.9508|-125.271
YBR|Brandon Municipal Airport|49.91|-99.9519
CYBU|Nipawin Airport|53.3325|-104.008
CYBW|Calgary / Springbank Airport|51.104|-114.3694
YBX|Lourdes-de-Blanc-Sablon Airport|51.4436|-57.1853
YCB|Cambridge Bay Airport|69.1081|-105.138
YCC|Cornwall Regional Airport|45.0926|-74.5677
YCD|Nanaimo Airport|49.055|-123.8699
YCE|Centralia / James T. Field Memorial Aerodrome|43.2856|-81.5083
YCG|Castlegar/West Kootenay Regional Airport|49.2964|-117.632
YCH|Miramichi Airport|47.0078|-65.4492
YCL|Charlo Airport|47.9908|-66.3303
YCN|Cochrane Airport|49.1056|-81.0136
CYCP|Blue River Airport|52.1167|-119.283
YCQ|Chetwynd Airport|55.6872|-121.627
YDA|Dawson City Airport|64.0431|-139.128
YDB|Burwash Airport|61.3711|-139.041
YDF|Deer Lake Airport|49.2082|-57.3961
XRR|Ross River Airport|61.9706|-132.423
YDN|Dauphin Barker Airport|51.1008|-100.052
YDO|Dolbeau-Saint-Felicien Airport|48.7785|-72.375
YDQ|Dawson Creek Airport|55.7412|-120.1833
CYEE|Huronia Airport|44.6833|-79.9283
YEG|Edmonton International Airport|53.3097|-113.58
YEL|Elliot Lake Municipal Airport|46.3514|-82.5614
YEM|Manitoulin East Municipal Airport|45.8424|-81.8576
YEN|Estevan Airport|49.2103|-102.966
YET|Edson Airport|53.5789|-116.465
YEV|Inuvik Mike Zubko Airport|68.3042|-133.483
YEY|Amos/Magny Airport|48.5639|-78.2497
YFB|Iqaluit Airport|63.7564|-68.5558
YFC|Fredericton International Airport|45.8687|-66.5299
CYFD|Brantford Municipal Airport|43.1314|-80.3425
YFE|Forestville Airport|48.7461|-69.0972
YTM|Mont-Tremblant International Airport|46.4094|-74.78
YFR|Fort Resolution Airport|61.1808|-113.69
YFS|Fort Simpson Airport|61.7602|-121.237
CYGD|Goderich Airport|43.7669|-81.7106
CYGE|Golden Airport|51.2992|-116.982
YGK|Kingston Norman Rogers Airport|44.2253|-76.5969
YGL|La Grande Rivière Airport|53.6253|-77.7042
YGM|Gimli Industrial Park Airport|50.6281|-97.0433
YGP|Michel-Pouliot Gaspé Airport|48.7749|-64.4819
YGQ|Geraldton Greenstone Regional Airport|49.7783|-86.9394
YGR|Îles-de-la-Madeleine Airport|47.4252|-61.7786
YGV|Havre-Saint-Pierre Airport|50.2819|-63.6114
YGW|Kuujjuarapik Airport|55.2819|-77.7653
YHD|Dryden Regional Airport|49.8317|-92.7442
YHF|Hearst René Fontaine Municipal Airport|49.7142|-83.6861
YHM|John C. Munro Hamilton International Airport|43.1735|-79.9312
YHN|Hornepayne Municipal Airport|49.1931|-84.7589
YHT|Haines Junction Airport|60.7892|-137.546
YHU|Montréal / Saint-Hubert Metropolitan Airport|45.5175|-73.4169
YHY|Hay River / Merlyn Carter Airport|60.8397|-115.783
YHZ|Halifax / Stanfield International Airport|44.8808|-63.5086
YIB|Atikokan Municipal Airport|48.7739|-91.6386
YDG|Digby / Annapolis Regional Airport|44.5458|-65.7854
YIF|St Augustin Airport|51.2117|-58.6583
YIV|Island Lake Airport|53.8572|-94.6536
YJF|Fort Liard Airport|60.2358|-123.469
YJN|St Jean Airport|45.2944|-73.2811
YJT|Stephenville Dymond International Airport|48.5434|-58.5529
YKA|Kamloops John Moose Fulton Field Regional Airport|50.703|-120.4486
YKF|Region of Waterloo International Airport|43.4608|-80.3786
YKJ|Key Lake Airport|57.2561|-105.618
YKL|Schefferville Airport|54.8053|-66.8053
YKD|Kincardine Municipal Airport|44.2014|-81.6067
YKX|Kirkland Lake Airport|48.2103|-79.9814
YKY|Kindersley Airport|51.5175|-109.181
YLD|Chapleau Airport|47.82|-83.3467
YLJ|Meadow Lake Airport|54.1253|-108.523
YLL|Lloydminster Airport|53.3092|-110.073
YLR|Leaf Rapids Airport|56.5133|-99.9853
YLK|Barrie-Lake Simcoe Regional Airport|44.4851|-79.5547
YLT|Alert Airport|82.5173|-62.283
YLW|Kelowna International Airport|49.9561|-119.378
YMA|Mayo Airport|63.6164|-135.868
YME|Matane Airport|48.8569|-67.4533
YMG|Manitouwadge Airport|49.0839|-85.8606
YMJ|Moose Jaw Air Vice Marshal C. M. McEwen Airport|50.3303|-105.559
YML|Charlevoix Airport|47.5975|-70.2239
YMM|Fort McMurray International Airport|56.6533|-111.222
YMO|Moosonee Airport|51.2911|-80.6078
YMT|Chapais Airport|49.7719|-74.5281
YMX|Montreal Mirabel International Airport|45.6795|-74.0387
YNA|Natashquan Airport|50.1901|-61.789
YND|Ottawa / Gatineau Airport|45.5217|-75.5636
YLY|Langley Airport|49.1008|-122.631
YNL|Points North Landing Airport|58.2767|-104.082
YNM|Matagami Airport|49.7617|-77.8028
CYNN|Nejanilini Lake Airport|59.4875|-97.7803
YOA|Ekati Airport|64.6989|-110.615
YOD|CFB Cold Lake|54.405|-110.279
YOJ|High Level Airport|58.6214|-117.165
YOO|Oshawa Executive Airport|43.9228|-78.895
YOP|Rainbow Lake Airport|58.4914|-119.408
YOS|Owen Sound / Billy Bishop Regional Airport|44.5903|-80.8375
YOW|Ottawa Macdonald-Cartier International Airport|45.3225|-75.6692
YPA|Prince Albert Glass Field|53.2142|-105.673
YPS|Port Hawkesbury Airport|45.6567|-61.3681
YPE|Peace River Airport|56.2269|-117.447
YPG|Portage-la-Prairie / Southport Airport|49.9031|-98.2738
CYPK|Pitt Meadows Regional Airport|49.2149|-122.7093
YPL|Pickle Lake Airport|51.4464|-90.2142
YPN|Port-Menier Airport|49.8364|-64.2886
YPQ|Peterborough Regional Airport|44.2323|-78.3621
YPR|Prince Rupert Airport|54.2861|-130.445
YPW|Powell River Airport|49.8342|-124.5
YPX|Puvirnituq Airport|60.0506|-77.2869
YPY|Fort Chipewyan Airport|58.7672|-111.117
YPZ|Burns Lake Airport|54.3764|-125.951
YQA|Muskoka Airport|44.9754|-79.3065
YQB|Quebec Jean Lesage International Airport|46.7911|-71.3933
YQD|The Pas Airport|53.9714|-101.091
YQF|Red Deer Regional Airport|52.1822|-113.894
YQG|Windsor International Airport|42.2756|-82.9556
YQH|Watson Lake Airport|60.1168|-128.822
YQI|Yarmouth Airport|43.8269|-66.0881
YQK|Kenora Airport|49.7883|-94.3631
YQL|Lethbridge County Airport|49.6303|-112.8
YQM|Greater Moncton Roméo LeBlanc International Airport|46.1132|-64.6772
YQN|Nakina Airport|50.1828|-86.6964
YQQ|Comox Valley International Airport / CFB Comox|49.7108|-124.887
YQR|Regina International Airport|50.4319|-104.6609
YQS|St Thomas Municipal Airport|42.77|-81.1108
YQT|Thunder Bay International Airport|48.3719|-89.3239
YQU|Grande Prairie Airport|55.1797|-118.885
YQV|Yorkton Municipal Airport|51.2647|-102.462
YQW|North Battleford Airport|52.7694|-108.2437
YQX|Gander International Airport|48.9363|-54.5677
YQY|Sydney / J.A. Douglas McCurdy Airport|46.1611|-60.0498
YQZ|Quesnel Airport|53.0261|-122.51
YRB|Resolute Bay Airport|74.7169|-94.9694
YRI|Rivière-du-Loup Airport|47.7644|-69.5847
YRJ|Roberval Airport|48.5197|-72.2657
YRL|Red Lake Airport|51.0669|-93.7931
YRO|Ottawa / Rockcliffe Airport|45.4605|-75.644
CYRP|Ottawa / Carp Airport|45.3192|-76.0222
YRQ|Trois-Rivières Airport|46.3528|-72.6794
YRT|Rankin Inlet Airport|62.8114|-92.1158
YRV|Revelstoke Airport|50.9622|-118.1843
YSB|Sudbury Airport|46.625|-80.7989
YSC|Sherbrooke Airport|45.4386|-71.6914
YSF|Stony Rapids Airport|59.2503|-105.841
CYSG|Saint-Georges Airport|46.0964|-70.7147
YSH|Smiths Falls-Montague (Russ Beach) Airport|44.9458|-75.9406
YSJ|Saint John Airport|45.3161|-65.8903
YSL|Saint-Léonard Airport|47.1571|-67.8362
YSM|Fort Smith Airport|60.0203|-111.962
YCM|Niagara District Airport|43.1916|-79.1717
YSP|Marathon Airport|48.7553|-86.3444
YSU|Summerside Airport|46.4406|-63.8336
YTA|Pembroke Airport|45.8644|-77.2517
YTF|Alma Airport|48.5089|-71.6419
YTH|Thompson Airport|55.8011|-97.8642
YTR|CFB Trenton|44.1189|-77.5281
YTS|Timmins/Victor M. Power|48.5697|-81.3767
YTZ|Billy Bishop Toronto City Airport|43.6279|-79.3955
YUL|Montreal / Pierre Elliott Trudeau International Airport|45.4678|-73.7423
YUX|Hall Beach Airport|68.7761|-81.2425
YUY|Rouyn Noranda Airport|48.2061|-78.8356
YVB|Bonaventure Airport|48.0711|-65.4603
YVC|La Ronge Airport|55.1514|-105.262
CYVD|Virden / RJ (Bob) Andrew Field Regional Aerodrome|49.8783|-100.918
YVE|Vernon Regional Airport|50.2462|-119.331
YVO|Val-d'Or Airport|48.0533|-77.7828
YVP|Kuujjuaq Airport|58.0961|-68.4269
YVQ|Norman Wells Airport|65.2816|-126.798
YVR|Vancouver International Airport|49.1939|-123.184
YVV|Wiarton Airport|44.7458|-81.1072
